old_path,new_path,phase,kind,status,notes
DATA1_matlab/,legacy/data1_matlab/,C,directory,completed,"Large legacy bundle; move after path-audit remediation"
DATA2_visualization.ipynb,legacy/notebooks/data2/DATA2_visualization.ipynb,B,notebook,completed,"Keep root shim notebook link or README pointer"
DATA2_model_demo.ipynb,legacy/notebooks/data2/DATA2_model_demo.ipynb,B,notebook,completed,"Used as provenance reference"
DATA2_model_demo_KKR.ipynb,legacy/notebooks/data2/DATA2_model_demo_KKR.ipynb,B,notebook,completed,"Legacy variant"
DATA2_model_error_visualization.ipynb,legacy/notebooks/data2/DATA2_model_error_visualization.ipynb,B,notebook,completed,"Produces validation artifacts"
DATA1_model_demo.ipynb,legacy/notebooks/data1/DATA1_model_demo.ipynb,B,notebook,completed,"Legacy DATA1 notebook"
DATA1_model_demo_KKR.ipynb,legacy/notebooks/data1/DATA1_model_demo_KKR.ipynb,B,notebook,completed,"Legacy variant"
run_cross_verification.py,legacy/scripts/run_cross_verification.py,B,script,completed,"Leave root wrapper importing legacy/scripts"
run_DATA2_model_variations.py,legacy/scripts/run_DATA2_model_variations.py,B,script,completed,"Leave root wrapper"
run_pre_B_dependence.py,legacy/scripts/run_pre_B_dependence.py,B,script,completed,"Leave root wrapper"
utility.py,legacy/scripts/utility.py,B,script,planned,"High reference density; requires careful shim"
DATA2code_for_DATA3_analysis/,legacy/notebooks/data2/archive_code/,B,directory,completed,"Archived notebook-support code"
UnifiedFramework/Experimental Data/,data/raw/experimental_data/,D,directory,planned,"Optional later move; large static files"
UnifiedFramework/ExperimentalDataFiles/,data/raw/experimental_xlsx/,D,directory,planned,"Optional later move"
UnifiedFramework/DATA3/results/reproduction/,artifacts/reproduction/,D,directory,deferred,"Requires coordinated path migration in scripts/tests"
UnifiedFramework/DATA3/results/simulation_validation/,artifacts/validation_visuals/,D,directory,deferred,"Can remain in-place until workflows updated"
